name,party,state,email,code,index,
"Abdul Wahab, Shri",IUML,KE,wahab.pv@sansad.nic.in,RS-1,1,
"Acharya, Shri Prasanna",BJD,OR,acharya.prasanna@sansad.nic.in,RS-2,2,
"Agrawal, Dr. Anil",BJP,UP,dranilagarwal.mprs@sansad.nic.in,RS-3,3,
"Akbar, Shri M. J.",BJP,MP,mj.akbar@sansad.nic.in,RS-4,4,
"Alphons, Shri K.J.",BJP,RJ,,RS-5,5,
"Anand Sharma, Shri",INC,HP,anandsharma@sansad.nic.in,RS-6,6,
"Antony, Shri A.K.",INC,KE,ak.antony@sansad.nic.in,RS-7,7,
"Arjunan, Shri K. R.",AIADMK,TN,kr.arjunan@sansad.nic.in,RS-8,8,
"Ashok Siddharth, Shri",BSP,UP,mpashoksiddharth@sansad.nic.in,RS-9,9,
"Athawale, Shri Ramdas",RPI(A),MH,,RS-10,10,
"Azad, Shri Ghulam Nabi",INC,JK,azadg@sansad.nic.in,RS-11,11,
"Babbar, Shri Raj",INC,UT,,RS-12,12,
"Bachchan, Smt. Jaya",SP,UP,jbachchan@sansad.nic.in,RS-13,13,
"Baidya, Smt. Jharna Das",CPI(M),TR,jdas.baidya@sansad.nic.in,RS-14,14,
"Bajpai, Dr. Ashok",BJP,UP,,RS-15,15,
"Bajwa, Shri Partap Singh",INC,PB,bajwa.ps@sansad.nic.in,RS-16,16,
"Balasubramoniyan, Shri S.R.",AIADMK,TN,,RS-17,17,
"Baluni, Shri Anil",BJP,UT,anil.baluni@sansad.nic.in,RS-18,18,
"Banda Prakash, Dr.",TRS,TG,banda.prakash@sansad.nic.in,RS-19,19,
"Banerjee, Shri Ritabrata",IND.,WB,ritabrata.banerjee@sansad.nic.in,RS-20,20,
"Bharathi, Shri R.S.",DMK,TN,ramansai.bharathi@sansad.nic.in,RS-21,21,
"Bharti, Smt. Misha",RJD,BI,misha.bharti@sansad.nic.in,RS-22,22,
"Bhattacharya, Shri P.",INC,WB,,RS-23,23,
"Bhunder, Sardar Balwinder Singh",SAD,PB,balwindersingh.mp@sansad.nic.in,RS-24,24,
"Bhunia, Shri Manas Ranjan",AITC,WB,,RS-25,25,
"Biswal, Shri Ranjib",INC,OR,ranjib.biswal@sansad.nic.in,RS-26,26,
"Biswas, Shri Abir Ranjan",AITC,WB,,RS-27,27,
"Bora, Shri Ripun",INC,AS,ripun.bora@sansad.nic.in,RS-28,28,
